Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Icetime_seconds,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_Rating,predict
https://en.khl.ru/players/13483/,2019/2020,1,4,8,15,39,25,25031,42.0,42.0,2.0,14.569999999999999,https://en.khl.ru/players/13483/,2020/2021,0.0,2.0,8.0,10.0,37.0,17.0,25994.0,26.0,39.0,5.0,13.32,77.98517591227402
https://en.khl.ru/players/13706/,2014/2015,4,3,23,21,58,60,57546,84.0,71.0,4.0,58.38,https://en.khl.ru/players/13706/,2015/2016,2.0,2.0,16.0,10.0,62.0,27.0,29596.0,32.0,28.0,2.0,17.680000000000003,83.1464572839594
https://en.khl.ru/players/13706/,2015/2016,2,2,16,10,62,27,29596,32.0,28.0,2.0,17.680000000000003,https://en.khl.ru/players/13706/,2016/2017,2.0,8.0,35.0,29.0,48.0,71.0,67535.0,90.0,62.0,5.0,91.67999999999999,96.89756330967003
https://en.khl.ru/players/13706/,2016/2017,2,8,35,29,48,71,67535,90.0,62.0,5.0,91.67999999999999,https://en.khl.ru/players/13706/,2017/2018,2.0,4.0,11.0,20.0,18.0,43.0,37990.0,46.0,32.0,0.0,24.57,89.63035604597326
https://en.khl.ru/players/13706/,2017/2018,2,4,11,20,18,43,37990,46.0,32.0,0.0,24.57,https://en.khl.ru/players/13706/,2018/2019,1.0,9.0,25.0,26.0,32.0,51.0,58194.0,100.0,60.0,5.0,84.91,94.55450784091374
https://en.khl.ru/players/13806/,2014/2015,1,4,21,22,55,38,37219,40.0,55.0,8.0,35.099999999999994,https://en.khl.ru/players/13806/,2015/2016,1.0,8.0,27.0,21.0,40.0,47.0,46245.0,73.0,79.0,7.0,90.33,94.90935630170985
https://en.khl.ru/players/13806/,2015/2016,1,8,27,21,40,47,46245,73.0,79.0,7.0,90.33,https://en.khl.ru/players/13806/,2016/2017,1.0,2.0,25.0,18.0,43.0,36.0,28901.0,50.0,39.0,7.0,47.309999999999995,99.37502957547319
https://en.khl.ru/players/13806/,2016/2017,1,2,25,18,43,36,28901,50.0,39.0,7.0,47.309999999999995,https://en.khl.ru/players/13806/,2018/2019,3.0,11.0,44.0,22.0,32.0,53.0,55996.0,61.0,89.0,7.0,147.31,114.0871110973635
https://en.khl.ru/players/13806/,2018/2019,3,11,44,22,32,53,55996,61.0,89.0,7.0,147.31,https://en.khl.ru/players/13806/,2019/2020,2.0,9.0,29.0,40.0,45.0,81.0,59235.0,53.0,82.0,8.0,63.8,107.53490127227442
https://en.khl.ru/players/13806/,2019/2020,2,9,29,40,45,81,59235,53.0,82.0,8.0,63.8,https://en.khl.ru/players/13806/,2020/2021,4.0,2.0,17.0,17.0,34.0,39.0,34300.0,18.0,38.0,10.0,42.73,89.70432261962976
https://en.khl.ru/players/13806/,2020/2021,4,2,17,17,34,39,34300,18.0,38.0,10.0,42.73,https://en.khl.ru/players/13806/,2021/2022,2.0,3.0,11.0,20.0,20.0,34.0,32126.0,20.0,42.0,2.0,15.880000000000003,82.687903363648
https://en.khl.ru/players/13809/,2014/2015,0,10,34,35,32,84,63240,58.0,53.0,6.0,81.97999999999999,https://en.khl.ru/players/13809/,2015/2016,4.0,4.0,24.0,26.0,18.0,70.0,45227.0,60.0,49.0,2.0,63.4,96.92826852911254
https://en.khl.ru/players/13809/,2015/2016,4,4,24,26,18,70,45227,60.0,49.0,2.0,63.4,https://en.khl.ru/players/13809/,2017/2018,2.0,6.0,20.0,16.0,40.0,67.0,39899.0,43.0,55.0,4.0,64.87,96.11746913645422
https://en.khl.ru/players/13809/,2017/2018,2,6,20,16,40,67,39899,43.0,55.0,4.0,64.87,https://en.khl.ru/players/13809/,2018/2019,3.0,4.0,20.0,27.0,22.0,40.0,46129.0,59.0,63.0,1.0,42.3,90.11434792957414
https://en.khl.ru/players/13809/,2018/2019,3,4,20,27,22,40,46129,59.0,63.0,1.0,42.3,https://en.khl.ru/players/13809/,2019/2020,1.0,2.0,13.0,12.0,16.0,43.0,32985.0,25.0,46.0,2.0,36.32,84.56678189658756
https://en.khl.ru/players/13809/,2019/2020,1,2,13,12,16,43,32985,25.0,46.0,2.0,36.32,https://en.khl.ru/players/13809/,2021/2022,0.0,1.0,14.0,27.0,18.0,25.0,30308.0,40.0,41.0,4.0,2.289999999999997,77.76179829238578
https://en.khl.ru/players/13890/,2014/2015,2,5,26,29,20,43,48723,46.0,48.0,5.0,53.919999999999995,https://en.khl.ru/players/13890/,2015/2016,4.0,6.0,23.0,23.0,26.0,48.0,54031.0,40.0,49.0,3.0,62.26,94.05531365502198
https://en.khl.ru/players/13890/,2015/2016,4,6,23,23,26,48,54031,40.0,49.0,3.0,62.26,https://en.khl.ru/players/13890/,2016/2017,1.0,5.0,18.0,18.0,34.0,35.0,38432.0,30.0,25.0,6.0,38.589999999999996,91.98813709861588
https://en.khl.ru/players/13909/,2014/2015,1,7,36,42,85,72,63895,102.0,33.0,8.0,41.2,https://en.khl.ru/players/13909/,2015/2016,1.0,5.0,12.0,22.0,54.0,36.0,38644.0,60.0,26.0,2.0,8.009999999999998,75.52415878581235
https://en.khl.ru/players/13909/,2015/2016,1,5,12,22,54,36,38644,60.0,26.0,2.0,8.009999999999998,https://en.khl.ru/players/13909/,2016/2017,0.0,2.0,5.0,12.0,10.0,12.0,19693.0,26.0,14.0,2.0,5.61,75.41406654113823
https://en.khl.ru/players/13928/,2014/2015,2,8,24,5,51,47,32382,84.0,23.0,2.0,94.11,https://en.khl.ru/players/13928/,2015/2016,4.0,7.0,30.0,31.0,40.0,68.0,59055.0,117.0,55.0,12.0,101.44,116.55663084346843
https://en.khl.ru/players/13928/,2015/2016,4,7,30,31,40,68,59055,117.0,55.0,12.0,101.44,https://en.khl.ru/players/13928/,2016/2017,4.0,13.0,29.0,24.0,38.0,70.0,63065.0,93.0,83.0,7.0,130.46,114.96866282184826
https://en.khl.ru/players/13928/,2016/2017,4,13,29,24,38,70,63065,93.0,83.0,7.0,130.46,https://en.khl.ru/players/13928/,2018/2019,3.0,2.0,14.0,18.0,31.0,52.0,27586.0,56.0,32.0,8.0,41.89,103.91672749979966
https://en.khl.ru/players/13928/,2018/2019,3,2,14,18,31,52,27586,56.0,32.0,8.0,41.89,https://en.khl.ru/players/13928/,2019/2020,4.0,8.0,11.0,19.0,18.0,83.0,37337.0,31.0,51.0,9.0,74.22999999999999,98.77088868865312
https://en.khl.ru/players/14253/,2014/2015,3,6,33,24,10,30,46888,86.0,39.0,6.0,100.21,https://en.khl.ru/players/14253/,2015/2016,0.0,9.0,33.0,30.0,16.0,34.0,63420.0,79.0,59.0,6.0,91.71,111.16116938679076
https://en.khl.ru/players/14253/,2015/2016,0,9,33,30,16,34,63420,79.0,59.0,6.0,91.71,https://en.khl.ru/players/14253/,2016/2017,0.0,8.0,14.0,17.0,28.0,27.0,38932.0,55.0,39.0,3.0,48.3,96.20104747138288
https://en.khl.ru/players/14253/,2016/2017,0,8,14,17,28,27,38932,55.0,39.0,3.0,48.3,https://en.khl.ru/players/14253/,2018/2019,0.0,1.0,10.0,20.0,35.0,21.0,39860.0,99.0,33.0,5.0,14.639999999999999,83.96861350838479
https://en.khl.ru/players/14253/,2018/2019,0,1,10,20,35,21,39860,99.0,33.0,5.0,14.639999999999999,https://en.khl.ru/players/14253/,2019/2020,1.0,6.0,25.0,28.0,14.0,19.0,44840.0,50.0,40.0,2.0,46.949999999999996,83.88068555746483
https://en.khl.ru/players/14260/,2014/2015,1,2,8,10,10,38,20307,22.0,11.0,2.0,22.84,https://en.khl.ru/players/14260/,2015/2016,4.0,7.0,23.0,19.0,22.0,82.0,55712.0,36.0,39.0,4.0,82.62,101.59974740630973
https://en.khl.ru/players/14260/,2015/2016,4,7,23,19,22,82,55712,36.0,39.0,4.0,82.62,https://en.khl.ru/players/14260/,2016/2017,0.0,3.0,9.0,7.0,6.0,17.0,18812.0,13.0,20.0,5.0,35.06,95.57627036798482
https://en.khl.ru/players/14267/,2014/2015,3,4,40,26,38,59,50249,31.0,36.0,4.0,72.91,https://en.khl.ru/players/14267/,2015/2016,6.0,8.0,36.0,22.0,22.0,75.0,73703.0,7.0,45.0,3.0,103.64,111.08653757984236
https://en.khl.ru/players/14267/,2015/2016,6,8,36,22,22,75,73703,7.0,45.0,3.0,103.64,https://en.khl.ru/players/14267/,2016/2017,3.0,4.0,20.0,16.0,16.0,67.0,48187.0,9.0,37.0,4.0,59.07,100.8773668097749
https://en.khl.ru/players/14267/,2016/2017,3,4,20,16,16,67,48187,9.0,37.0,4.0,59.07,https://en.khl.ru/players/14267/,2017/2018,1.0,1.0,17.0,16.0,12.0,29.0,32431.0,3.0,45.0,0.0,21.43,84.25285656775807
https://en.khl.ru/players/14267/,2017/2018,1,1,17,16,12,29,32431,3.0,45.0,0.0,21.43,https://en.khl.ru/players/14267/,2018/2019,2.0,7.0,27.0,24.0,8.0,38.0,43863.0,3.0,47.0,3.0,63.9,91.59659306039111
https://en.khl.ru/players/14267/,2018/2019,2,7,27,24,8,38,43863,3.0,47.0,3.0,63.9,https://en.khl.ru/players/14267/,2019/2020,5.0,15.0,34.0,37.0,30.0,82.0,69323.0,14.0,70.0,3.0,99.24,104.91539565343544
https://en.khl.ru/players/14267/,2019/2020,5,15,34,37,30,82,69323,14.0,70.0,3.0,99.24,https://en.khl.ru/players/14267/,2020/2021,3.0,14.0,33.0,47.0,52.0,71.0,66998.0,11.0,74.0,4.0,53.62,93.01418789134945
https://en.khl.ru/players/14267/,2020/2021,3,14,33,47,52,71,66998,11.0,74.0,4.0,53.62,https://en.khl.ru/players/14267/,2021/2022,2.0,9.0,18.0,16.0,14.0,40.0,32632.0,3.0,39.0,3.0,64.49,92.0508201227689
