Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/15947/,2017/2018,5,6,16,19,6,75,29763,36.0,14.0,2.0,64.42
https://en.khl.ru/players/15947/,2020/2021,6,6,25,21,20,92,41674,34.0,31.0,4.0,85.27
https://en.khl.ru/players/15993/,2017/2018,3,16,24,16,16,103,49905,42.0,33.0,7.0,138.69
https://en.khl.ru/players/15993/,2018/2019,4,14,31,15,20,93,51717,38.0,30.0,4.0,138.51
https://en.khl.ru/players/15993/,2019/2020,7,16,37,30,24,95,66552,37.0,54.0,6.0,144.5
https://en.khl.ru/players/15993/,2021/2022,5,28,35,24,26,110,62822,21.0,51.0,6.0,192.72
https://en.khl.ru/players/15999/,2014/2015,5,16,43,31,4,74,67695,21.0,61.0,9.0,158.77
https://en.khl.ru/players/15999/,2015/2016,6,9,48,39,8,72,68195,25.0,56.0,9.0,124.42999999999999
https://en.khl.ru/players/15999/,2016/2017,6,18,44,34,8,80,77806,13.0,60.0,3.0,151.28
https://en.khl.ru/players/15999/,2018/2019,11,16,33,34,8,119,74385,27.0,79.0,2.0,149.44
https://en.khl.ru/players/15999/,2019/2020,5,14,27,31,10,100,78314,26.0,84.0,5.0,118.46000000000001
https://en.khl.ru/players/15999/,2020/2021,2,9,27,33,8,44,52676,16.0,65.0,1.0,59.28999999999999
https://en.khl.ru/players/16010/,2014/2015,8,13,30,22,62,120,67527,72.0,31.0,16.0,143.45
https://en.khl.ru/players/16010/,2015/2016,5,11,27,11,36,108,49377,56.0,28.0,8.0,135.07999999999998
https://en.khl.ru/players/16010/,2016/2017,8,14,31,13,61,117,52619,40.0,30.0,4.0,136.64
https://en.khl.ru/players/16010/,2019/2020,3,17,43,24,28,114,59513,35.0,34.0,8.0,162.39
https://en.khl.ru/players/16010/,2020/2021,7,22,38,26,18,127,62769,41.0,47.0,6.0,189.35
https://en.khl.ru/players/16043/,2019/2020,2,9,30,24,4,83,57521,25.0,64.0,4.0,102.94
https://en.khl.ru/players/16080/,2018/2019,2,13,38,31,16,121,70469,24.0,69.0,12.0,138.99
https://en.khl.ru/players/16080/,2019/2020,7,11,34,36,20,157,84488,27.0,84.0,12.0,136.5
https://en.khl.ru/players/16080/,2020/2021,9,11,30,26,12,102,48524,42.0,45.0,6.0,130.81
https://en.khl.ru/players/16082/,2017/2018,8,9,21,15,24,94,52462,53.0,43.0,5.0,115.52
https://en.khl.ru/players/16082/,2018/2019,5,16,51,38,72,153,74116,75.0,65.0,8.0,154.8
https://en.khl.ru/players/16082/,2019/2020,9,8,30,43,47,137,74454,79.0,72.0,11.0,97.63
https://en.khl.ru/players/16082/,2020/2021,2,9,23,13,12,65,29106,26.0,25.0,1.0,87.61
https://en.khl.ru/players/16095/,2014/2015,4,10,35,26,20,63,54691,39.0,33.0,5.0,104.25
https://en.khl.ru/players/16095/,2015/2016,2,9,36,24,14,52,52859,46.0,36.0,4.0,102.57
https://en.khl.ru/players/16095/,2016/2017,4,11,33,29,20,85,57407,34.0,48.0,8.0,110.38
https://en.khl.ru/players/16095/,2020/2021,3,9,37,29,14,64,54000,34.0,64.0,4.0,103.16
https://en.khl.ru/players/16095/,2021/2022,2,15,34,24,18,49,46705,31.0,49.0,8.0,126.0
https://en.khl.ru/players/16186/,2015/2016,3,10,39,44,61,58,66113,59.0,37.0,10.0,64.25
https://en.khl.ru/players/16220/,2014/2015,4,8,46,33,18,72,65035,47.0,52.0,1.0,107.76
https://en.khl.ru/players/16220/,2015/2016,5,7,29,27,8,56,58436,46.0,49.0,3.0,87.53
https://en.khl.ru/players/16220/,2016/2017,10,10,39,28,24,100,63510,48.0,58.0,8.0,145.89
https://en.khl.ru/players/16220/,2017/2018,4,11,31,29,20,78,64254,40.0,61.0,6.0,105.78
https://en.khl.ru/players/16220/,2018/2019,9,6,23,15,6,38,39643,24.0,39.0,5.0,98.96000000000001
https://en.khl.ru/players/16356/,2015/2016,1,11,22,19,22,40,48065,18.0,17.0,8.0,75.78999999999999
https://en.khl.ru/players/16356/,2016/2017,3,17,25,32,22,80,63453,23.0,21.0,3.0,87.76
https://en.khl.ru/players/16356/,2019/2020,3,8,38,33,16,81,64227,45.0,53.0,2.0,92.45
https://en.khl.ru/players/16356/,2020/2021,8,13,38,37,20,105,67653,41.0,37.0,4.0,120.72
https://en.khl.ru/players/16356/,2021/2022,3,12,34,37,20,93,52346,19.0,42.0,3.0,84.06
https://en.khl.ru/players/16365/,2014/2015,5,10,21,18,22,50,30814,58.0,12.0,2.0,84.77
https://en.khl.ru/players/16365/,2015/2016,6,9,26,22,40,86,51123,91.0,32.0,6.0,105.32000000000001
https://en.khl.ru/players/16365/,2017/2018,4,14,35,30,32,114,57331,58.0,42.0,4.0,122.59
https://en.khl.ru/players/16365/,2018/2019,5,7,48,30,30,121,75640,97.0,74.0,3.0,144.37
https://en.khl.ru/players/16365/,2019/2020,4,27,33,20,39,113,59454,70.0,42.0,4.0,191.37
https://en.khl.ru/players/16365/,2020/2021,2,14,26,22,24,80,47863,26.0,64.0,4.0,107.22
https://en.khl.ru/players/16365/,2021/2022,6,13,25,21,26,101,56919,39.0,62.0,0.0,114.02999999999999
https://en.khl.ru/players/16400/,2016/2017,2,10,34,11,56,95,54748,61.0,45.0,8.0,128.53
https://en.khl.ru/players/16400/,2020/2021,7,12,34,21,69,51,50424,20.0,69.0,5.0,101.8
https://en.khl.ru/players/16423/,2015/2016,3,12,28,33,43,83,54742,68.0,58.0,2.0,80.43
https://en.khl.ru/players/16423/,2016/2017,6,13,28,27,8,92,50976,41.0,66.0,5.0,127.03
https://en.khl.ru/players/16423/,2017/2018,9,11,36,29,37,115,58759,56.0,80.0,7.0,140.31
