Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/14285/,2017/2018,2,4,13,13,12,32,15.0,27.0,3.0,1.3014157826241273
https://en.khl.ru/players/14299/,2014/2015,4,3,10,16,40,59,51.0,15.0,11.0,0.9007036747458952
https://en.khl.ru/players/14299/,2015/2016,13,8,28,19,69,108,61.0,15.0,7.0,2.35886630521366
https://en.khl.ru/players/14299/,2016/2017,9,6,19,14,36,94,61.0,28.0,10.0,2.139473282053894
https://en.khl.ru/players/14299/,2017/2018,7,5,17,15,40,75,31.0,15.0,7.0,1.6002481004806945
https://en.khl.ru/players/14299/,2018/2019,9,7,17,26,36,101,52.0,19.0,12.0,1.3627101375445745
https://en.khl.ru/players/14299/,2019/2020,4,5,11,11,20,73,22.0,8.0,8.0,1.5135135135135134
https://en.khl.ru/players/14308/,2015/2016,8,14,26,16,6,70,23.0,12.0,5.0,2.568251813958344
https://en.khl.ru/players/14308/,2016/2017,2,8,12,15,10,28,19.0,16.0,4.0,1.4129480322503394
https://en.khl.ru/players/14308/,2017/2018,0,4,8,13,16,24,26.0,20.0,0.0,0.7716628262151011
https://en.khl.ru/players/14319/,2014/2015,2,2,9,1,6,18,33.0,6.0,2.0,1.7950909756991085
https://en.khl.ru/players/14319/,2015/2016,4,2,11,7,34,29,62.0,16.0,5.0,1.2285291775679674
https://en.khl.ru/players/14319/,2016/2017,1,9,19,15,14,36,30.0,25.0,5.0,1.2070657507360159
https://en.khl.ru/players/14319/,2017/2018,4,7,16,10,66,14,31.0,23.0,5.0,0.9004502251125562
https://en.khl.ru/players/14319/,2018/2019,1,5,9,12,12,18,39.0,13.0,7.0,0.8150425395009652
https://en.khl.ru/players/14362/,2014/2015,8,16,32,32,29,99,40.0,33.0,9.0,2.048316163624315
https://en.khl.ru/players/14362/,2016/2017,6,4,17,6,13,57,28.0,18.0,7.0,2.1577703040191802
https://en.khl.ru/players/14362/,2017/2018,8,8,27,12,22,58,38.0,9.0,10.0,2.6059827491282803
https://en.khl.ru/players/14362/,2018/2019,5,7,14,7,24,50,45.0,14.0,4.0,1.8691588785046729
https://en.khl.ru/players/14362/,2019/2020,7,4,15,8,14,55,31.0,20.0,8.0,2.178883658372562
https://en.khl.ru/players/14362/,2020/2021,11,12,32,16,28,83,18.0,22.0,12.0,2.9547309930740266
https://en.khl.ru/players/14362/,2021/2022,5,10,17,13,12,40,12.0,14.0,4.0,2.269832078749276
https://en.khl.ru/players/14386/,2014/2015,4,3,12,10,24,27,49.0,21.0,8.0,2.196935556557008
https://en.khl.ru/players/14386/,2015/2016,5,7,14,22,61,53,109.0,38.0,15.0,1.0736445818131115
https://en.khl.ru/players/14386/,2016/2017,3,0,5,7,14,14,44.0,33.0,6.0,1.3805949706897496
https://en.khl.ru/players/14430/,2014/2015,18,12,26,25,14,133,42.0,21.0,10.0,2.6871705441718516
https://en.khl.ru/players/14430/,2015/2016,13,12,24,28,20,123,39.0,29.0,8.0,2.023015465806641
https://en.khl.ru/players/14430/,2016/2017,11,4,19,13,24,108,22.0,28.0,9.0,1.5623812058085607
