Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/14561/,2015/2016,4,7,16,12,22,49,43356,81.0,38.0,14.0,117
https://en.khl.ru/players/14561/,2016/2017,2,1,5,15,8,29,35559,83.0,36.0,8.0,36
https://en.khl.ru/players/14561/,2017/2018,0,4,8,16,57,20,19954,43.0,20.0,3.0,-8
https://en.khl.ru/players/14590/,2014/2015,34,32,53,25,18,163,76560,48.0,12.0,25.0,475
https://en.khl.ru/players/14590/,2015/2016,26,29,44,47,6,169,88889,56.0,15.0,37.0,371
https://en.khl.ru/players/14590/,2016/2017,39,46,75,36,41,188,74775,40.0,16.0,24.0,588
https://en.khl.ru/players/14597/,2014/2015,16,23,30,41,26,110,68560,79.0,16.0,21.0,237
https://en.khl.ru/players/14597/,2015/2016,21,15,30,10,40,110,53448,30.0,9.0,10.0,259
https://en.khl.ru/players/14597/,2016/2017,8,18,29,24,18,81,56567,46.0,24.0,9.0,183
https://en.khl.ru/players/14597/,2017/2018,8,16,38,20,20,76,58681,66.0,28.0,14.0,212
https://en.khl.ru/players/14597/,2018/2019,15,13,35,19,10,119,63942,64.0,41.0,11.0,255
https://en.khl.ru/players/14597/,2019/2020,3,12,25,29,12,59,46677,69.0,30.0,10.0,111
https://en.khl.ru/players/14597/,2020/2021,9,11,21,17,6,72,45920,21.0,17.0,8.0,141
https://en.khl.ru/players/14597/,2021/2022,3,3,11,21,12,45,36585,35.0,22.0,6.0,43
https://en.khl.ru/players/14612/,2014/2015,1,1,6,12,43,32,23428,17.0,9.0,5.0,-5
https://en.khl.ru/players/14612/,2015/2016,5,10,31,37,134,96,67610,115.0,68.0,6.0,77
https://en.khl.ru/players/14612/,2016/2017,1,8,24,22,120,78,50555,102.0,46.0,5.0,61
https://en.khl.ru/players/14612/,2017/2018,3,3,14,19,54,55,41121,70.0,35.0,4.0,47
https://en.khl.ru/players/14612/,2018/2019,0,6,20,31,53,73,49640,85.0,39.0,11.0,50
https://en.khl.ru/players/14612/,2019/2020,5,7,28,27,73,71,49542,49.0,43.0,6.0,85
https://en.khl.ru/players/14612/,2020/2021,0,1,14,15,14,20,19385,25.0,34.0,4.0,31
https://en.khl.ru/players/14613/,2014/2015,6,10,26,19,27,55,44927,60.0,21.0,10.0,121
https://en.khl.ru/players/14613/,2015/2016,4,8,24,22,30,71,57437,61.0,26.0,11.0,106
https://en.khl.ru/players/14613/,2016/2017,5,6,21,21,51,60,45309,37.0,20.0,5.0,65
https://en.khl.ru/players/14613/,2017/2018,5,15,33,22,30,57,48280,79.0,19.0,9.0,160
https://en.khl.ru/players/14613/,2018/2019,3,5,15,14,21,47,58902,68.0,32.0,7.0,76
https://en.khl.ru/players/14613/,2019/2020,0,3,15,9,43,25,37754,27.0,14.0,2.0,20
https://en.khl.ru/players/14613/,2020/2021,1,1,11,6,12,22,21963,33.0,22.0,7.0,43
https://en.khl.ru/players/14613/,2021/2022,2,3,16,18,11,44,37861,31.0,25.0,3.0,49
https://en.khl.ru/players/14622/,2014/2015,7,11,22,15,28,123,55668,89.0,15.0,13.0,172
https://en.khl.ru/players/14622/,2015/2016,6,3,9,9,26,47,28293,52.0,8.0,4.0,66
https://en.khl.ru/players/14622/,2016/2017,21,20,34,12,28,148,65411,54.0,34.0,18.0,332
https://en.khl.ru/players/14622/,2017/2018,13,25,44,25,42,114,58610,45.0,15.0,10.0,263
https://en.khl.ru/players/14622/,2018/2019,10,16,32,39,12,105,62194,48.0,9.0,11.0,165
https://en.khl.ru/players/14622/,2019/2020,13,19,36,17,28,127,57871,34.0,16.0,9.0,252
https://en.khl.ru/players/14622/,2020/2021,21,15,39,16,22,132,58503,17.0,19.0,12.0,287
https://en.khl.ru/players/14622/,2021/2022,11,8,32,34,4,110,46300,11.0,7.0,11.0,144
https://en.khl.ru/players/14633/,2015/2016,10,9,26,25,45,90,52501,41.0,31.0,11.0,134
https://en.khl.ru/players/14633/,2016/2017,12,9,23,32,32,88,48157,49.0,14.0,5.0,123
https://en.khl.ru/players/14633/,2017/2018,13,7,23,26,41,76,47579,29.0,22.0,6.0,120
https://en.khl.ru/players/14633/,2018/2019,12,19,33,31,16,88,57006,58.0,18.0,5.0,198
https://en.khl.ru/players/14633/,2019/2020,8,4,26,34,22,97,62573,62.0,37.0,4.0,110
https://en.khl.ru/players/14633/,2020/2021,11,3,15,26,24,79,48785,41.0,22.0,8.0,92
https://en.khl.ru/players/14633/,2021/2022,7,3,14,23,14,41,39285,31.0,26.0,5.0,65
https://en.khl.ru/players/14653/,2014/2015,3,8,23,25,41,95,43556,11.0,15.0,11.0,78
https://en.khl.ru/players/14653/,2015/2016,3,8,17,22,24,67,45374,15.0,17.0,6.0,69
https://en.khl.ru/players/14653/,2016/2017,1,6,11,23,39,95,46934,33.0,17.0,6.0,42
https://en.khl.ru/players/14655/,2014/2015,14,16,30,33,16,117,58959,33.0,20.0,16.0,201
https://en.khl.ru/players/14655/,2015/2016,8,9,25,29,8,111,56781,27.0,47.0,15.0,156
https://en.khl.ru/players/14655/,2016/2017,4,6,19,26,6,80,50101,9.0,49.0,18.0,98
https://en.khl.ru/players/14655/,2017/2018,5,6,14,16,10,50,25824,9.0,28.0,5.0,83
https://en.khl.ru/players/14655/,2018/2019,4,5,9,14,2,43,23182,16.0,24.0,8.0,71
https://en.khl.ru/players/14655/,2019/2020,1,7,14,22,12,73,45538,30.0,48.0,6.0,73
https://en.khl.ru/players/14655/,2020/2021,4,5,15,18,4,35,22460,20.0,20.0,5.0,69
https://en.khl.ru/players/14671/,2014/2015,2,1,6,20,12,25,25070,15.0,16.0,4.0,1
https://en.khl.ru/players/14671/,2015/2016,8,14,28,20,14,52,40197,17.0,16.0,7.0,148
