Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13705/,2014/2015,1,4,9,25,35,64,40.0,12.0,8.0,0.2962649455084118,https://en.khl.ru/players/13705/,2015/2016,11.0,7.0,17.0,16.0,44.0,91.0,63.0,16.0,9.0,1.8410943502295511,1.401506932181357
https://en.khl.ru/players/13705/,2015/2016,11,7,17,16,44,91,63.0,16.0,9.0,1.8410943502295511,https://en.khl.ru/players/13705/,2016/2017,19.0,12.0,28.0,20.0,48.0,101.0,64.0,19.0,10.0,2.790156946328231,2.085049904319776
https://en.khl.ru/players/13726/,2014/2015,5,8,16,23,23,79,77.0,32.0,7.0,1.8300193559739573,https://en.khl.ru/players/13726/,2015/2016,7.0,10.0,23.0,29.0,41.0,84.0,42.0,47.0,10.0,1.6104085160585933,1.5459327344952252
https://en.khl.ru/players/13726/,2015/2016,7,10,23,29,41,84,42.0,47.0,10.0,1.6104085160585933,https://en.khl.ru/players/13726/,2016/2017,10.0,3.0,19.0,27.0,20.0,103.0,50.0,81.0,11.0,1.682720204247418,1.344249892612293
https://en.khl.ru/players/13726/,2016/2017,10,3,19,27,20,103,50.0,81.0,11.0,1.682720204247418,https://en.khl.ru/players/13726/,2017/2018,4.0,6.0,17.0,19.0,18.0,101.0,39.0,81.0,11.0,1.6837824097610576,1.501150353328573
https://en.khl.ru/players/13726/,2017/2018,4,6,17,19,18,101,39.0,81.0,11.0,1.6837824097610576,https://en.khl.ru/players/13726/,2018/2019,1.0,2.0,5.0,25.0,24.0,68.0,37.0,72.0,6.0,0.529624180821185,0.9666068791792968
https://en.khl.ru/players/13726/,2018/2019,1,2,5,25,24,68,37.0,72.0,6.0,0.529624180821185,https://en.khl.ru/players/13726/,2019/2020,1.0,1.0,6.0,12.0,14.0,35.0,23.0,26.0,1.0,0.5032712632108707,0.8232853198959106
https://en.khl.ru/players/13739/,2014/2015,9,11,27,21,29,45,33.0,12.0,6.0,2.316465768766025,https://en.khl.ru/players/13739/,2015/2016,4.0,4.0,8.0,13.0,12.0,41.0,12.0,2.0,6.0,1.4305177111716625,1.593809992558278
https://en.khl.ru/players/13739/,2015/2016,4,4,8,13,12,41,12.0,2.0,6.0,1.4305177111716625,https://en.khl.ru/players/13739/,2016/2017,8.0,11.0,18.0,16.0,62.0,60.0,21.0,26.0,11.0,1.608416367406808,1.4095525060646434
https://en.khl.ru/players/13782/,2014/2015,22,12,28,33,16,136,21.0,8.0,22.0,2.6445718177174964,https://en.khl.ru/players/13782/,2015/2016,16.0,9.0,21.0,31.0,16.0,120.0,12.0,1.0,6.0,2.3035336519627045,2.3464598745886267
https://en.khl.ru/players/13782/,2015/2016,16,9,21,31,16,120,12.0,1.0,6.0,2.3035336519627045,https://en.khl.ru/players/13782/,2016/2017,15.0,10.0,16.0,27.0,28.0,103.0,22.0,6.0,13.0,1.8144763657879168,2.1106417063617746
https://en.khl.ru/players/13782/,2016/2017,15,10,16,27,28,103,22.0,6.0,13.0,1.8144763657879168,https://en.khl.ru/players/13782/,2017/2018,11.0,9.0,20.0,17.0,28.0,87.0,19.0,7.0,5.0,2.17213784092765,1.933698783142682
https://en.khl.ru/players/13782/,2017/2018,11,9,20,17,28,87,19.0,7.0,5.0,2.17213784092765,https://en.khl.ru/players/13782/,2018/2019,18.0,21.0,37.0,22.0,18.0,114.0,27.0,9.0,9.0,3.072740139297553,2.4451044785369507
https://en.khl.ru/players/13782/,2018/2019,18,21,37,22,18,114,27.0,9.0,9.0,3.072740139297553,https://en.khl.ru/players/13782/,2019/2020,18.0,17.0,29.0,25.0,10.0,124.0,9.0,19.0,3.0,2.855806195716291,2.5951442826854696
https://en.khl.ru/players/13782/,2019/2020,18,17,29,25,10,124,9.0,19.0,3.0,2.855806195716291,https://en.khl.ru/players/13782/,2020/2021,13.0,19.0,23.0,32.0,14.0,122.0,34.0,15.0,8.0,2.03269520326952,2.3579165717454114
https://en.khl.ru/players/13782/,2020/2021,13,19,23,32,14,122,34.0,15.0,8.0,2.03269520326952,https://en.khl.ru/players/13782/,2021/2022,9.0,15.0,17.0,20.0,10.0,85.0,24.0,3.0,0.0,2.3213697728021074,2.115865337883192
https://en.khl.ru/players/13859/,2014/2015,5,5,12,24,2,44,55.0,19.0,21.0,1.1908043442306633,https://en.khl.ru/players/13859/,2015/2016,10.0,13.0,25.0,29.0,24.0,77.0,80.0,21.0,16.0,1.8398409188054043,1.5816016238720814
https://en.khl.ru/players/13859/,2015/2016,10,13,25,29,24,77,80.0,21.0,16.0,1.8398409188054043,https://en.khl.ru/players/13859/,2016/2017,10.0,2.0,16.0,18.0,6.0,33.0,45.0,10.0,3.0,1.6677145031600544,1.532824803243984
